region,pattern,keyword,exposed,approx_pos
서울 강남구 압구정동,시+동,강남 압구정동 스카이차,1,10
서울 강남구 압구정동,동읍면,압구정동 스카이차,1,16
서울 강남구 압구정동,구/시,강남구 스카이차,0,
경기 화성시 마도면,시+동,화성 마도면 스카이차,1,10
경기 화성시 마도면,동읍면,마도면 스카이차,1,10
경기 화성시 마도면,구/시,화성시 스카이차,0,
서울 성북구 정릉동,시+동,성북 정릉동 스카이차,0,
서울 성북구 정릉동,동읍면,정릉동 스카이차,0,
서울 성북구 정릉동,구/시,성북구 스카이차,0,
서울 강동구 길동,시+동,강동 길동 스카이차,1,23
서울 강동구 길동,동읍면,길동 스카이차,0,
서울 강동구 길동,구/시,강동구 스카이차,0,
서울 종로구 낙원동,시+동,종로 낙원동 스카이차,1,10
서울 종로구 낙원동,동읍면,낙원동 스카이차,1,36
서울 종로구 낙원동,구/시,종로구 스카이차,0,
경기 고양시 가좌동,시+동,고양 가좌동 스카이차,1,10
경기 고양시 가좌동,동읍면,가좌동 스카이차,0,
경기 고양시 가좌동,구/시,고양시 스카이차,0,
경기 시흥시 논곡동,시+동,시흥 논곡동 스카이차,1,13
경기 시흥시 논곡동,동읍면,논곡동 스카이차,1,13
경기 시흥시 논곡동,구/시,시흥시 스카이차,0,
경기 고양시 신평동,시+동,고양 신평동 스카이차,1,10
경기 고양시 신평동,동읍면,신평동 스카이차,0,
경기 고양시 신평동,구/시,고양시 스카이차,0,
경기 수원시 금곡동,시+동,수원 금곡동 스카이차,1,10
경기 수원시 금곡동,동읍면,금곡동 스카이차,0,
경기 수원시 금곡동,구/시,수원시 스카이차,0,
경기 양주시 만송동,시+동,양주 만송동 스카이차,1,8
경기 양주시 만송동,동읍면,만송동 스카이차,1,16
경기 양주시 만송동,구/시,양주시 스카이차,0,
경기 여주시 천송동,시+동,여주 천송동 스카이차,1,10
경기 여주시 천송동,동읍면,천송동 스카이차,1,10
경기 여주시 천송동,구/시,여주시 스카이차,0,
인천 옹진군 덕적면,시+동,옹진 덕적면 스카이차,1,13
인천 옹진군 덕적면,동읍면,덕적면 스카이차,1,28
인천 옹진군 덕적면,구/시,옹진군 스카이차,0,
경기 하남시 선동,시+동,하남 선동 스카이차,1,10
경기 하남시 선동,동읍면,선동 스카이차,0,
경기 하남시 선동,구/시,하남시 스카이차,0,
인천 연수구 연수동,시+동,연수 연수동 스카이차,0,
인천 연수구 연수동,동읍면,연수동 스카이차,0,
인천 연수구 연수동,구/시,연수구 스카이차,0,
서울 마포구 성산동,시+동,마포 성산동 스카이차,1,13
서울 마포구 성산동,동읍면,성산동 스카이차,1,13
서울 마포구 성산동,구/시,마포구 스카이차,0,
경기도광주 곤지암읍,시+동,경기도광주 곤지암읍 스카이차,1,10
경기도광주 곤지암읍,동읍면,곤지암읍 스카이차,1,36
경기도광주 곤지암읍,구/시,경기도광주 스카이차,0,
인천 서구 오류동,시+동,서 오류동 스카이차,0,
인천 서구 오류동,동읍면,오류동 스카이차,0,
인천 서구 오류동,구/시,서구 스카이차,0,
서울 마포구 신공덕동,시+동,마포 신공덕동 스카이차,0,
서울 마포구 신공덕동,동읍면,신공덕동 스카이차,0,
서울 마포구 신공덕동,구/시,마포구 스카이차,0,
서울 금천구 가산동,시+동,금천 가산동 스카이차,0,
서울 금천구 가산동,동읍면,가산동 스카이차,0,
서울 금천구 가산동,구/시,금천구 스카이차,0,
경기도광주 능평동,시+동,경기도광주 능평동 스카이차,0,
경기도광주 능평동,동읍면,능평동 스카이차,0,
경기도광주 능평동,구/시,경기도광주 스카이차,0,
경기 동두천시 하봉암동,시+동,동두천 하봉암동 스카이차,0,
경기 동두천시 하봉암동,동읍면,하봉암동 스카이차,0,
경기 동두천시 하봉암동,구/시,동두천시 스카이차,0,
경기 안산시 풍도동,시+동,안산 풍도동 스카이차,0,
경기 안산시 풍도동,동읍면,풍도동 스카이차,0,
경기 안산시 풍도동,구/시,안산시 스카이차,0,
경기 의정부시 고산동,시+동,의정부 고산동 스카이차,0,
경기 의정부시 고산동,동읍면,고산동 스카이차,0,
경기 의정부시 고산동,구/시,의정부시 스카이차,0,
충남 당진시 채운동,시+동,당진 채운동 스카이차,0,
충남 당진시 채운동,동읍면,채운동 스카이차,0,
충남 당진시 채운동,구/시,당진시 스카이차,0,
대전 동구 천동,시+동,동 천동 스카이차,0,
대전 동구 천동,동읍면,천동 스카이차,1,9
대전 동구 천동,구/시,동구 스카이차,0,
경기 양주시 백석읍,시+동,양주 백석읍 스카이차,0,
경기 양주시 백석읍,동읍면,백석읍 스카이차,0,
경기 양주시 백석읍,구/시,양주시 스카이차,0,
경기 안성시 금산동,시+동,안성 금산동 스카이차,0,
경기 안성시 금산동,동읍면,금산동 스카이차,0,
경기 안성시 금산동,구/시,안성시 스카이차,1,26
경기 고양시 정발산동,시+동,고양 정발산동 스카이차,0,
경기 고양시 정발산동,동읍면,정발산동 스카이차,0,
경기 고양시 정발산동,구/시,고양시 스카이차,0,
경기 수원시 화서동,시+동,수원 화서동 스카이차,0,
경기 수원시 화서동,동읍면,화서동 스카이차,0,
경기 수원시 화서동,구/시,수원시 스카이차,0,
충북 청주시 석소동,시+동,청주 석소동 스카이차,1,13
충북 청주시 석소동,동읍면,석소동 스카이차,0,
충북 청주시 석소동,구/시,청주시 스카이차,0,
